"ko","outdegree","n_sig","all_inside","frac_targets_sig","network","col"
"EPB41L2",768,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"EPB41L3",778,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"EPS15",776,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"EPS8",697,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"EPSTI1",666,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ERBIN",784,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ERC1",702,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ERC2",779,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"ETV6",785,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"EVI5",760,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"EVL",363,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"EXOC4",682,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"EXOC6B",766,2,TRUE,0.00130548302872063,"MS microglia, control net","#1f6fb4"
"F13A1",770,2,TRUE,0.0012987012987013,"MS microglia, control net","#1f6fb4"
"FAF1",746,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FAM110B",788,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FAM135A",738,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FAM135B",4,5,TRUE,1,"MS microglia, control net","#1f6fb4"
"FAM13A",781,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FAM149A",754,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FAM168A",695,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FAM172A",737,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FAM49A",785,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FAM49B",762,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FAR2",653,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FARP1",743,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FARS2",585,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FBXL17",336,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FBXO11",728,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FBXW7",604,2,TRUE,0.00165562913907285,"MS microglia, control net","#1f6fb4"
"FCGBP",571,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FCHO2",713,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FCHSD2",713,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FER",734,2,TRUE,0.00136239782016349,"MS microglia, control net","#1f6fb4"
"FGD4",589,2,TRUE,0.00169779286926995,"MS microglia, control net","#1f6fb4"
"FHIT",679,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FKBP5",773,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FLI1",697,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FMN1",765,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FMNL2",757,2,TRUE,0.00132100396301189,"MS microglia, control net","#1f6fb4"
"FMNL3",697,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FNDC3A",724,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FNDC3B",587,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FNIP1",738,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FNIP2",734,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FOXN3",734,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FOXO3",765,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FOXP1",769,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FOXP2",583,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FRMD4A",778,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FRMD4B",776,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FRYL",780,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FTH1",768,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FTL",774,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FTO",544,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FTX",770,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"FYB1",651,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GAB1",784,2,TRUE,0.00127551020408163,"MS microglia, control net","#1f6fb4"
"GAB2",715,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GALNT10",710,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GALNT2",748,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GALNTL6",701,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GAS7",764,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GK",765,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GLDN",762,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GLS",708,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GMDS",305,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GMDS-DT",436,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GNA13",788,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GNAQ",752,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GNB1",760,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GNB4",758,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GNG7",777,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GOLGA4",788,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GPD2",713,1,TRUE,0,"MS microglia, control net","#1f6fb4"
"GPHN",776,2,TRUE,0.00128865979381443,"MS microglia, control net","#1f6fb4"
